Probability,Residual,Order,class,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77
0.098176,35.881935,3,7,,,,,,,,,,0.000172,,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.104105,35.845093,3,2,,,,,,,,,,,,,,,,,,,0.00011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030,,,,,,,,,,,,,,
0.238655,35.798149,3,7,,,,,,,,0.000124,,,,,,,,,2.9e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.149715,35.741219,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.997,,,,,,,,,,,,0.000101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.098176,35.736980,3,7,,,,,,,,,,0.000172,,,,,,,,4.3e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.098176,35.736980,3,7,,,,,,,,,,,,,,,,,,4.3e-005,,,,,,,,,,,,,,,,,,,,,,,,,0.000172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.118358,35.729794,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,0.000298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.185975,35.641918,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9e-005,,,,,,,,,,0.000184,,,,,,,,,,,,,,,,,,,,,,,
0.165222,35.638920,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.113569,35.637577,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.148005,35.616699,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9e-005,,,,,,,,,,,,,,,,,,,,,,,,,,383,,,,,,,
0.285291,35.607128,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0134,0.961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.285291,35.607128,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.961,,,,,,,,,,,,,,,,,,,,,,,,,0.0134,,,,,,,,,,,,,,,,,,,,,
0.091220,35.551262,3,1,,,8.1e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0632,,,,,,,,,,,,,,,,
0.146066,35.549339,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9e-005,,,,,,,,,,,,,,,,,,,,,6.35,,,,,,,,,,,,
0.090650,35.546181,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,5e-007
0.146066,35.541557,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,,,,,
0.150399,35.513966,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.997,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,
0.127252,35.508007,3,7,,,,,,,,,,,,,-5e-006,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.094755,35.491337,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030,,,,,,,,,,,,,,
0.124515,35.455242,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0134,,,,,,,,,,,,0.000325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.124515,35.455242,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000325,,,,,,,,,,,,,,0.0134,,,,,,,,,,,,,,,,,,,,,
0.108210,35.448257,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,
0.166933,35.389355,3,7,,,,,,,,,0.000153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.961,
0.097719,35.314606,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721,,,,,,,,,,,,,
0.214595,35.313961,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73100,,,,,,,,,,1.02,,,,
0.171038,35.284657,3,7,,,,,,,,,,,,,,,,,2.9e-005,,,,,,,,,,,,,,,0.974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.088940,35.278336,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565000,,,
0.119954,35.262386,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.116420,35.222977,3,2,2.5e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030,,,,,,,,,,,,,,
0.087913,35.174709,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.968,,,,,,,,,,,,,,,,,,5e-007
0.109464,35.164555,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,
0.281300,35.120644,3,7,,,,,,,,,0.000153,,,,,,,,,,,,,,,0.000112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.290764,35.111404,3,7,,,,,,,,0.000124,,,,,,,,,,,,,,,8.6e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.115735,35.081684,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0134,,,,,,,,,,,,,,,,,,11800,,,
0.115735,35.081684,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11800,,,
0.117104,35.057064,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000322,,,,,,,,,,,,,,,0.0134,,,,,,,,,,,,,,,,,,,,,
0.117104,35.057064,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0134,,,,,,,,,,,0.000322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.119840,35.038944,3,7,,,,,,,,0.000124,,,,,,,,,4e-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.120867,35.017086,3,7,,,,,,,,,,,,,,,,,2.9e-005,,,,,,,,,,,,,,,,,,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.164880,35.016994,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0134,,0.97,,,,,,,,,,,,,,,,,,,
0.164880,35.016994,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0134,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,
0.112771,35.001743,3,2,,,,,,,,,,,,,-5e-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030,,,,,,,,,,,,,,
0.104675,34.984482,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0632,,,,,,,,,,,,,,,,
0.353250,34.917622,3,7,,,,,,,,,,,,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.158267,34.855438,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00759,,,,,,,,,0.968,,,,,,,,,,,,,,,,,,
0.241961,34.851471,3,7,,,,,,,0.000106,,,,,,,,,,2.9e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.093729,34.850464,3,1,,,,,,,,0.000124,,,,,,,,,,,,,,,,,,,,,,,0.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.162372,34.796200,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00759,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,
0.295097,34.773285,3,7,,,,,,,0.000106,,,,,,,,,,,,,,,,,0.000112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.159863,34.699120,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.968,,,,,,,,,,,,,,,,,,
0.159863,34.699120,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0134,,,0.968,,,,,,,,,,,,,,,,,,
0.100456,34.698795,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.996,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.089624,34.689224,3,7,2.5e-005,,,,,,,,,0.000172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.089624,34.689224,3,7,2.5e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.279019,34.676807,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.961,,,,,,,,,,,,,,,,,,,0.00759,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.094071,34.673141,3,7,,,,,,,,,,,,,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.093615,34.643059,3,2,,2.7e-005,,,,,,,0.000754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.128620,34.630562,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.287913,34.529236,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.732,,,,,,,,,,,,,,,,,
0.114709,34.526196,3,2,,,,0.000154,,,,,,,,,,,,,2.9e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.355188,34.517860,3,7,,,,,,,,,,,,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,
0.093957,34.499081,3,7,,,,,,,,,,,,,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565000,,,
0.353136,34.488522,3,7,,,,,,,,,,,,,,,,,,4.3e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.211631,34.479645,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,,
0.098290,34.442497,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,,
0.146978,34.435375,3,7,2.5e-005,,,,,,,,,,,,,,,,,,1.8e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.093387,34.413898,3,1,,,,0.000154,,,,,0.000153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.085747,34.404816,3,2,,,,,,,,,0.000754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,
0.087571,34.324806,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,0.0563,,,,,,,,,,,,,,,
0.087115,34.257553,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.996,,,,,,,,,,8.2e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.150057,34.227180,3,7,2.5e-005,,,,,,,,,,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.088255,34.221066,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030,,,,,,,,,,,,,,
0.108552,34.166927,3,2,,,,0.000154,,,,,,,-2e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.118814,34.166512,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,0.0632,,,,,,,,,,,,,,,,
0.138655,34.146271,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.961,,,,,,,,,,,,,3.9e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.154276,34.109909,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2e-005,,,,,,0.97,,,,,,,,,,,,,,,,,,,
0.280502,34.106510,3,7,,,,,,,,,0.000153,,,,,,,,,,,,,,8.6e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.116762,34.101559,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,0.0632,,,,,,,,,,,,,,,,
0.121323,34.101334,3,7,,,,,,,,,,,,,,,,3e-006,4e-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.355074,34.083015,3,7,,,,,,,,,,,,,,,,,,4.3e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,
0.117902,34.073505,3,7,,2.7e-005,,,,,,,,,,,,,,,4e-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.150171,34.069038,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2e-005,,,,,,,0.968,,,,,,,,,,,,,,,,,,
0.186317,34.037514,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9e-005,,,,,,,,,,,0.000347,,,,,,,,,,,,,,,,,,,,,,
0.249601,33.998558,3,7,,,,,5.1e-005,,,,,,,,,,,,,,,,,8.9e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.094869,33.991035,3,2,,,,0.000154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.093843,33.981052,3,1,,,8.1e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2e-005,,,,,,,,,,,,,,,,,,,,,,,,,
0.183466,33.927448,3,7,,,,,,,,,,,,,,,0.000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.101824,33.922657,3,2,,,,,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.105701,33.904976,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,39.6,,,,,,,,,,,,,,,,,,
0.154960,33.898163,3,7,,,,,,,,,,,,,,,,,,,,0.00759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.968,,,,,,,,,,,,,,,,,,
0.154960,33.898163,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00759,,,,,,,,,,,0.968,,,,,,,,,,,,,,,,,,
0.125200,33.889446,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.154276,33.883316,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.7e-005,,,,,,,,,,0.968,,,,,,,,,,,,,,,,,,
0.229304,33.852768,3,7,,2.7e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383,,,,,,,
0.161345,33.792728,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,6.35,,,,,,,,,,,,
0.161345,33.784409,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,378,,,,,
0.106842,33.776970,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,
0.122691,33.756180,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.088027,33.724262,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,0.0563,,,,,,,,,,,,,,,
0.111745,33.717930,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.158723,33.717171,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00759,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,
0.158723,33.717171,3,7,,,,,,,,,,,,,,,,,,,,0.00759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,
0.085063,33.714764,3,1,,,8.1e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.186317,33.700260,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,9.4e-005,,,,,,,,,,,,,,,,,,3.9e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.098290,33.696247,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000172,,,,,,,,,,,,,,0.000581,,,,,,,,,,,,,,,,,,,,
0.098290,33.696247,3,7,,,,,,,,,,0.000172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000581,,,,,,,,,,,,,,,,,,,,
0.119840,33.689117,3,7,,,,,,,0.000106,,,,,,,,,,4e-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.294185,33.681347,3,7,,,,,,,0.000106,,,,,,,,,,,,,,,,8.6e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.101596,33.663593,3,1,,,,,,,,,0.000153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,
0.157925,33.660889,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.7e-005,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,
0.094185,33.633656,3,1,,,,0.000154,,,,0.000124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.299544,33.621700,3,7,,,,,,8.6e-005,,,,,,,,,,,,,,,,8.9e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.138997,33.620998,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00773,0.000298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.138997,33.620998,3,2,,,,,,,,,,0.00773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.119498,33.568672,3,7,,,,,,8.6e-005,,,,,,,,,,,4e-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.199544,33.562382,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0134,,,,,,39.6,,,,,,,,,,,,,,,
0.199544,33.562382,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,
0.186317,33.549091,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000461,,,,,,,,,,,,,,,3.9e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.103079,33.548405,3,1,,,,,,,,,0.000153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,
0.186317,33.537910,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000237,,,,,,,,,,,,,,,,3.9e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.119954,33.535545,3,7,,,,,,,,,,,,,,,,3e-006,,,,,,,,,,,,,,,,,,,0.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.225428,33.533928,3,7,,2.7e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.35,,,,,,,,,,,,
0.225428,33.523308,3,7,,2.7e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,,,,,
0.137172,33.514317,3,2,,,,,,,,,,,,,,,,,2.9e-005,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.086431,33.513302,3,1,,,,0.000154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,
0.122691,33.502731,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.732,,,1030,,,,,,,,,,,,,,
0.130445,33.463448,3,2,,,,,,,,,,,-2e-005,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.093387,33.460957,3,1,,,,,,,0.000106,,,,,,,,,,,,,,,,,,,,,,,,0.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.090194,33.454063,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0563,,,,,,,,,,,,,,,
0.107982,33.432770,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,
0.127138,33.429352,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2e-005,,,,,,,,,,,,,,,,,,,,,,565000,,,
0.162486,33.404716,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,383,,,,,,,
0.156899,33.338303,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.997,,,,,,,,,,,,,,,,,,,0.000184,,,,,,,,,,,,,,,,,,,,,,,
0.170011,33.333824,3,7,,,,,,8.6e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.961,
0.149715,33.333065,3,7,,,,,,,,,,,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2e-005,,,,,,,,,,,,,,,,,,,,,,,,,
0.132383,33.287834,3,7,,,,,,,,,,,,,,,,,,,,,5e-007,,,,,,,,,,,,,,,,,,,,,7.4e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.154162,33.271938,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.997,,,,,,,,,,,,,,,,,,,,,,0.000581,,,,,,,,,,,,,,,,,,,,
